Hour,0,1,2,3,4,5,6,7,8,9
0.019444444444444445,0.6001079123866878,0.05793174410120744,0.4803617977884626,0.40393454514678123,0.8636600011312039,0.7201072438560079,0.6043221157649536,0.5529483376345296,0.2126675939914408,0.3436766329620128
0.03611111111111111,0.6006724285157201,0.06018980861733647,0.48092631391749485,0.40619260966291026,0.8793410047154333,0.7223653083721369,0.6065801802810826,0.5535128537635619,0.21492565850756984,0.3459346974781418
0.05277777777777778,0.6012369446447524,0.062447873133465504,0.4814908300465271,0.4084506741790393,0.8950220082996627,0.7246233728882658,0.6088382447972116,0.5540773698925942,0.21718372302369887,0.34819276199427085
0.06944444444444445,0.6018014607737847,0.06470593764959454,0.48205534617555934,0.41070873869516833,0.9107030118838921,0.7268814374043948,0.6110963093133406,0.5546418860216265,0.2194417875398279,0.3504508265103999
0.08611111111111111,0.602365976902817,0.06696400216572357,0.4826198623045916,0.41296680321129736,0.23839854358182838,0.7291395019205238,0.6133543738294696,0.5552064021506588,0.22169985205595694,0.3527088910265289
0.10277777777777777,0.6029304930318493,0.0692220666818526,0.48318437843362383,0.4152248677274264,0.24065660809795741,0.7313975664366528,0.6156124383455985,0.555770918279691,0.22395791657208597,0.35496695554265795
0.11944444444444445,0.6034950091608816,0.07148013119798163,0.4837488945626561,0.4174829322435554,0.24291467261408645,0.7336556309527817,0.6178705028617275,0.5563354344087234,0.226215981088215,0.357225020058787
0.1361111111111111,0.6040595252899139,0.07373819571411067,0.4843134106916883,0.41974099675968446,0.24517273713021548,0.7359136954689107,0.6201285673778565,0.5568999505377557,0.22847404560434403,0.359483084574916
0.1527777777777778,0.6046240414189462,0.0759962602302397,0.48487792682072056,0.4219990612758135,0.2474308016463445,0.7381717599850397,0.6223866318939855,0.557464466666788,0.23073211012047307,0.36174114909104504
0.16944444444444445,0.6051885575479785,0.07825432474636873,0.4854424429497528,0.4242571257919425,0.24968886616247354,0.7404298245011687,0.6246446964101144,0.5580289827958202,0.2329901746366021,0.3639992136071741
0.18611111111111112,0.6057530736770108,0.08051238926249776,0.48600695907878505,0.42651519030807156,0.2519469306786026,0.7426878890172977,0.6269027609262434,0.5585934989248525,0.23524823915273113,0.3662572781233031
0.20277777777777778,0.6063175898060431,0.0827704537786268,0.4865714752078173,0.4287732548242006,0.2542049951947316,0.7449459535334266,0.6291608254423724,0.5591580150538848,0.23750630366886016,0.36851534263943214
0.21944444444444444,0.6068821059350754,0.08502851829475583,0.48713599133684954,0.4310313193403296,0.25646305971086064,0.7472040180495556,0.6314188899585014,0.5597225311829171,0.2397643681849892,0.3707734071555612
0.2361111111111111,0.6074466220641077,0.08728658281088486,0.4877005074658818,0.43328938385645865,0.2587211242269897,0.7494620825656846,0.6336769544746303,0.5602870473119494,0.24202243270111823,0.3730314716716902
0.25277777777777777,0.60801113819314,0.0895446473270139,0.488265023594914,0.4355474483725877,0.2609791887431187,0.7517201470818136,0.6359350189907593,0.5608515634409817,0.24428049721724726,0.37528953618781924
0.26944444444444443,0.6085756543221723,0.09180271184314293,0.48882953972394627,0.4378055128887167,0.26323725325924774,0.7539782115979425,0.6381930835068883,0.561416079570014,0.2465385617333763,0.37754760070394827
0.2861111111111111,0.6091401704512046,0.09406077635927196,0.4893940558529785,0.44006357740484575,0.26549531777537677,0.7562362761140715,0.6404511480230173,0.5619805956990463,0.24879662624950533,0.3798056652200773
0.30277777777777776,0.6097046865802369,0.09631884087540099,0.48995857198201076,0.4423216419209748,0.2677533822915058,0.7584943406302005,0.6427092125391463,0.5625451118280786,0.25105469076563436,0.38206372973620634
0.3194444444444444,0.6102692027092692,0.09857690539153002,0.490523088111043,0.4445797064371038,0.27001144680763484,0.7607524051463295,0.6449672770552752,0.563109627957111,0.2533127552817634,0.38432179425233537
0.33611111111111114,0.6108337188383015,0.10083496990765906,0.49108760424007525,0.44683777095323285,0.27226951132376387,0.7630104696624584,0.6472253415714042,0.5636741440861432,0.2555708197978924,0.3865798587684644
0.3527777777777778,0.6113982349673338,0.10309303442378809,0.4916521203691075,0.4490958354693619,0.2745275758398929,0.7652685341785874,0.6494834060875332,0.5642386602151755,0.25782888431402146,0.38883792328459343
0.36944444444444446,0.6119627510963661,0.10535109893991712,0.49221663649813974,0.4513538999854909,0.27678564035602193,0.7675265986947164,0.6517414706036622,0.5648031763442078,0.2600869488301505,0.39109598780072247
0.3861111111111111,0.6125272672253984,0.10760916345604615,0.492781152627172,0.45361196450161995,0.27904370487215097,0.7697846632108454,0.6539995351197911,0.5653676924732401,0.2623450133462795,0.3933540523168515
0.4027777777777778,0.6130917833544307,0.10986722797217519,0.4933456687562042,0.455870029017749,0.28130176938828,0.7720427277269744,0.6562575996359201,0.5659322086022724,0.26460307786240855,0.39561211683298053
0.41944444444444445,0.613656299483463,0.11212529248830422,0.49391018488523647,0.458128093533878,0.28355983390440903,0.7743007922431033,0.6585156641520491,0.5664967247313047,0.2668611423785376,0.39787018134910956
0.4361111111111111,0.6142208156124953,0.11438335700443325,0.4944747010142687,0.46038615805000704,0.28581789842053806,0.7765588567592323,0.6607737286681781,0.567061240860337,0.2691192068946666,0.4001282458652386
0.4527777777777778,0.6147853317415276,0.11664142152056228,0.49503921714330096,0.4626442225661361,0.2880759629366671,0.7788169212753613,0.663031793184307,0.5676257569893693,0.27137727141079565,0.40238631038136763
0.46944444444444444,0.6153498478705599,0.11889948603669132,0.4956037332723332,0.4649022870822651,0.29033402745279613,0.7810749857914903,0.665289857700436,0.5681902731184016,0.2736353359269247,0.40464437489749666
