Hour,0,1,2,3,4,5,6,7,8,9
0.019444444444444445,1.8,50.0,50.0,0.0,0.0,50.0,7.2,7.2,7.2,7.2
0.03611111111111111,1.8,50.0,50.0,1.8,7.2,50.0,7.2,7.2,7.2,7.2
0.05277777777777778,1.8,50.0,50.0,1.8,7.2,50.0,7.2,7.2,7.2,7.2
0.06944444444444445,1.8,50.0,50.0,1.8,7.2,50.0,7.2,7.2,7.2,7.2
0.08611111111111111,1.8,50.0,50.0,1.8,7.2,50.0,7.2,7.2,7.2,7.2
0.10277777777777777,1.8,50.0,50.0,1.8,7.2,50.0,7.2,7.2,7.2,7.2
0.11944444444444445,1.8,50.0,50.0,1.8,7.2,50.0,7.2,7.2,7.2,7.2
0.1361111111111111,1.8,50.0,50.0,1.8,7.2,50.0,7.2,7.2,7.2,7.2
0.1527777777777778,1.8,50.0,50.0,1.8,7.2,50.0,7.2,7.2,7.2,7.2
0.16944444444444445,1.8,50.0,50.0,1.8,7.2,50.0,7.2,7.2,7.2,7.2
0.18611111111111112,1.8,50.0,50.0,1.8,7.2,50.0,7.2,7.2,7.2,7.2
0.20277777777777778,1.8,50.0,50.0,1.8,7.2,50.0,7.2,7.2,7.2,7.2
0.21944444444444444,1.8,50.0,50.0,1.8,7.2,50.0,7.2,7.2,7.2,7.2
0.2361111111111111,1.8,50.0,50.0,1.8,7.2,50.0,7.2,7.2,7.2,7.2
0.25277777777777777,1.8,50.0,50.0,1.8,7.2,50.0,7.2,7.2,7.2,7.2
0.26944444444444443,1.8,50.0,50.0,1.8,7.2,50.0,7.2,7.2,7.2,7.2
0.2861111111111111,1.8,50.0,50.0,1.8,7.2,7.2,7.2,7.2,7.2,7.2
0.30277777777777776,1.8,50.0,50.0,1.8,7.2,7.2,7.2,7.2,7.2,7.2
0.3194444444444444,1.8,50.0,50.0,1.8,7.2,7.2,7.2,7.2,7.2,7.2
0.33611111111111114,1.8,50.0,50.0,1.8,7.2,7.2,7.2,7.2,7.2,7.2
0.3527777777777778,1.8,50.0,50.0,1.8,7.2,7.2,7.2,7.2,7.2,7.2
0.36944444444444446,1.8,50.0,50.0,1.8,7.2,7.2,7.2,7.2,7.2,7.2
0.3861111111111111,1.8,50.0,50.0,1.8,7.2,7.2,7.2,7.2,7.2,7.2
0.4027777777777778,1.8,50.0,50.0,1.8,7.2,7.2,7.2,7.2,7.2,7.2
0.41944444444444445,1.8,50.0,50.0,1.8,7.2,7.2,7.2,7.2,7.2,7.2
0.4361111111111111,1.8,50.0,50.0,1.8,7.2,7.2,7.2,7.2,7.2,7.2
0.4527777777777778,1.8,50.0,50.0,1.8,7.2,7.2,7.2,7.2,7.2,7.2
0.46944444444444444,1.8,50.0,50.0,1.8,7.2,7.2,7.2,7.2,7.2,7.2
0.4861111111111111,1.8,50.0,50.0,1.8,7.2,7.2,7.2,7.2,7.2,7.2
0.5027777777777778,1.8,50.0,50.0,1.8,7.2,7.2,7.2,7.2,7.2,7.2
0.5194444444444445,1.8,50.0,50.0,1.8,7.2,7.2,7.2,7.2,7.2,7.2
