# file...... output/1c_IEEE_123_feeder_0_swing_node.csv
# date...... Fri Nov 10 16:02:02 2023
# user...... hard312
# host...... (null)
# target.... substation 3
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,positive_sequence_voltage,distribution_load
2013-08-28 00:00:00 PST,+138000+0i,+2.844e+06+935479j
2013-08-28 00:01:00 PST,+136593+0j,+2.8226e+06+925554j
2013-08-28 00:02:00 PST,+142508+0j,+2.93646e+06+975554j
2013-08-28 00:03:00 PST,+142508+0j,+2.92403e+06+969551j
2013-08-28 00:04:00 PST,+142508+0j,+2.90626e+06+961166j
2013-08-28 00:05:00 PST,+142508+0j,+2.89387e+06+955231j
2013-08-28 00:06:00 PST,+142478+0j,+2.86757e+06+944715j
2013-08-28 00:07:00 PST,+142478+0j,+2.84334e+06+935034j
2013-08-28 00:08:00 PST,+142478+0j,+2.83869e+06+934046j
2013-08-28 00:09:00 PST,+142478+0j,+2.83204e+06+932095j
2013-08-28 00:10:00 PST,+142478+0j,+2.8238e+06+929544j
2013-08-28 00:11:00 PST,+142519+0j,+2.83047e+06+931934j
2013-08-28 00:12:00 PST,+142519+0j,+2.83484e+06+933256j
2013-08-28 00:13:00 PST,+142519+0j,+2.83789e+06+934053j
2013-08-28 00:14:00 PST,+142519+0j,+2.84294e+06+935741j
2013-08-28 00:15:00 PST,+142519+0j,+2.84763e+06+937255j
2013-08-28 00:16:00 PST,+142471+0j,+2.84585e+06+936663j
2013-08-28 00:17:00 PST,+142471+0j,+2.84326e+06+935826j
2013-08-28 00:18:00 PST,+142471+0j,+2.83933e+06+934486j
2013-08-28 00:19:00 PST,+142471+0j,+2.83673e+06+933660j
2013-08-28 00:20:00 PST,+142471+0j,+2.83545e+06+933345j
2013-08-28 00:21:00 PST,+142476+0j,+2.83163e+06+932126j
2013-08-28 00:22:00 PST,+142476+0j,+2.82632e+06+930345j
2013-08-28 00:23:00 PST,+142476+0j,+2.82233e+06+929073j
2013-08-28 00:24:00 PST,+142476+0j,+2.81963e+06+928311j
2013-08-28 00:25:00 PST,+142476+0j,+2.81564e+06+927029j
2013-08-28 00:26:00 PST,+142491+0j,+2.81686e+06+927360j
2013-08-28 00:27:00 PST,+142491+0j,+2.81958e+06+928239j
2013-08-28 00:28:00 PST,+142491+0j,+2.82199e+06+928926j
2013-08-28 00:29:00 PST,+142491+0j,+2.82472e+06+929794j
2013-08-28 00:30:00 PST,+142491+0j,+2.8278e+06+930844j
2013-08-28 00:31:00 PST,+142443+0j,+2.8261e+06+930199j
2013-08-28 00:32:00 PST,+142443+0j,+2.8262e+06+930334j
2013-08-28 00:33:00 PST,+142443+0j,+2.825e+06+929942j
2013-08-28 00:34:00 PST,+142443+0j,+2.82248e+06+929049j
2013-08-28 00:35:00 PST,+142443+0j,+2.82127e+06+928668j
2013-08-28 00:36:00 PST,+142445+0j,+2.82263e+06+929199j
2013-08-28 00:37:00 PST,+142445+0j,+2.82279e+06+929244j
2013-08-28 00:38:00 PST,+142445+0j,+2.82165e+06+928787j
2013-08-28 00:39:00 PST,+142445+0j,+2.8218e+06+928842j
2013-08-28 00:40:00 PST,+142445+0j,+2.82326e+06+929400j
2013-08-28 00:41:00 PST,+142447+0j,+2.81671e+06+927301j
2013-08-28 00:42:00 PST,+142447+0j,+2.80797e+06+924431j
2013-08-28 00:43:00 PST,+142447+0j,+2.80053e+06+922060j
2013-08-28 00:44:00 PST,+142447+0j,+2.79435e+06+920203j
2013-08-28 00:45:00 PST,+142447+0j,+2.78692e+06+917822j
2013-08-28 00:46:00 PST,+142444+0j,+2.78517e+06+917172j
2013-08-28 00:47:00 PST,+142444+0j,+2.78574e+06+917361j
2013-08-28 00:48:00 PST,+142444+0j,+2.78601e+06+917375j
2013-08-28 00:49:00 PST,+142444+0j,+2.78659e+06+917552j
2013-08-28 00:50:00 PST,+142444+0j,+2.78749e+06+917904j
2013-08-28 00:51:00 PST,+142449+0j,+2.78818e+06+918148j
2013-08-28 00:52:00 PST,+142449+0j,+2.78848e+06+918172j
2013-08-28 00:53:00 PST,+142449+0j,+2.7891e+06+918362j
2013-08-28 00:54:00 PST,+142449+0j,+2.79004e+06+918727j
2013-08-28 00:55:00 PST,+142449+0j,+2.79064e+06+918930j
2013-08-28 00:56:00 PST,+142449+0j,+2.79079e+06+918906j
2013-08-28 00:57:00 PST,+142449+0j,+2.79126e+06+919047j
2013-08-28 00:58:00 PST,+142449+0j,+2.79204e+06+919364j
2013-08-28 00:59:00 PST,+142449+0j,+2.7925e+06+919518j
2013-08-28 01:00:00 PST,+142449+0j,+2.79264e+06+919493j
2013-08-28 01:01:00 PST,+142394+0j,+2.79109e+06+918858j
2013-08-28 01:02:00 PST,+142394+0j,+2.79055e+06+918767j
2013-08-28 01:03:00 PST,+142394+0j,+2.79126e+06+919170j
2013-08-28 01:04:00 PST,+142394+0j,+2.79008e+06+918726j
2013-08-28 01:05:00 PST,+142394+0j,+2.78764e+06+917775j
2013-08-28 01:06:00 PST,+142397+0j,+2.78917e+06+918337j
2013-08-28 01:07:00 PST,+142397+0j,+2.79235e+06+919525j
2013-08-28 01:08:00 PST,+142397+0j,+2.79364e+06+919867j
2013-08-28 01:09:00 PST,+142397+0j,+2.79367e+06+919698j
2013-08-28 01:10:00 PST,+142397+0j,+2.79559e+06+920379j
2013-08-28 01:11:00 PST,+142394+0j,+2.79707e+06+921017j
2013-08-28 01:12:00 PST,+142394+0j,+2.79629e+06+920700j
2013-08-28 01:13:00 PST,+142394+0j,+2.79425e+06+919875j
2013-08-28 01:14:00 PST,+142394+0j,+2.79411e+06+919901j
2013-08-28 01:15:00 PST,+142394+0j,+2.79524e+06+920435j
2013-08-28 01:16:00 PST,+142394+0j,+2.7913e+06+919117j
2013-08-28 01:17:00 PST,+142394+0j,+2.78528e+06+917028j
2013-08-28 01:18:00 PST,+142394+0j,+2.78116e+06+915782j
2013-08-28 01:19:00 PST,+142394+0j,+2.77826e+06+915039j
2013-08-28 01:20:00 PST,+142394+0j,+2.7735e+06+913461j
2013-08-28 01:21:00 PST,+142404+0j,+2.77347e+06+913299j
2013-08-28 01:22:00 PST,+142404+0j,+2.77681e+06+914422j
2013-08-28 01:23:00 PST,+142404+0j,+2.77982e+06+915392j
2013-08-28 01:24:00 PST,+142404+0j,+2.78411e+06+916850j
2013-08-28 01:25:00 PST,+142404+0j,+2.78714e+06+917810j
2013-08-28 01:26:00 PST,+142401+0j,+2.78127e+06+915838j
2013-08-28 01:27:00 PST,+142401+0j,+2.77436e+06+913638j
2013-08-28 01:28:00 PST,+142401+0j,+2.76866e+06+911943j
2013-08-28 01:29:00 PST,+142401+0j,+2.76175e+06+909734j
2013-08-28 01:30:00 PST,+142401+0j,+2.75359e+06+907052j
2013-08-28 01:31:00 PST,+142384+0j,+2.75202e+06+906516j
2013-08-28 01:32:00 PST,+142384+0j,+2.75233e+06+906557j
2013-08-28 01:33:00 PST,+142384+0j,+2.75295e+06+906745j
2013-08-28 01:34:00 PST,+142384+0j,+2.75386e+06+907096j
2013-08-28 01:35:00 PST,+142384+0j,+2.75446e+06+907296j
2013-08-28 01:36:00 PST,+142388+0j,+2.75667e+06+907942j
2013-08-28 01:37:00 PST,+142388+0j,+2.75976e+06+908917j
2013-08-28 01:38:00 PST,+142388+0j,+2.76315e+06+910053j
2013-08-28 01:39:00 PST,+142388+0j,+2.76623e+06+911042j
2013-08-28 01:40:00 PST,+142388+0j,+2.76901e+06+911854j
2013-08-28 01:41:00 PST,+142382+0j,+2.76855e+06+911686j
2013-08-28 01:42:00 PST,+142382+0j,+2.76717e+06+911314j
2013-08-28 01:43:00 PST,+142382+0j,+2.76701e+06+911440j
2013-08-28 01:44:00 PST,+142382+0j,+2.76501e+06+910743j
