E_Type,TimeStamp,TimeInterval,Record,MarginalPrice,Power,PowerUncertainty,Cost,ReactivePower,ReactivePowerUncertainty,Voltage,VoltageUncertainty
2,2017-01-18 01:00:00,20170118T170000,0,21.044222539508915,971.5642479264228,0,0,0,0,0,0 
2,2017-01-18 01:00:00,20170118T170000,1,19.044222539508915,1115.8220867577493,0,3355.99329524219,0,0,0,0 
2,2017-01-18 01:00:00,20170118T170000,2,23.04422253950891,977.9368495645718,0,3355.993295242196,0,0,0,0 
2,2017-01-18 01:00:00,20170118T180000,0,21.016541388447266,772.5855005452547,0,0,0,0,0,0 
2,2017-01-18 01:00:00,20170118T180000,1,19.016541388447266,879.5716464107695,0,1917.710454424116,0,0,0,0 
2,2017-01-18 01:00:00,20170118T180000,2,23.01654138844727,778.9740953313149,0,1917.7104544241126,0,0,0,0 
2,2017-01-18 01:00:00,20170118T190000,0,21.021211336590348,748.341912368934,0,0,0,0,0,0 
2,2017-01-18 01:00:00,20170118T190000,1,19.021211336590348,857.6593701967814,0,1917.7104544241058,0,0,0,0 
2,2017-01-18 01:00:00,20170118T190000,2,23.02121133659034,754.7665673618319,0,1917.7104544241126,0,0,0,0 
2,2017-01-18 01:00:00,20170118T200000,0,21.021652535928435,599.1844581026626,0,0,0,0,0,0 
2,2017-01-18 01:00:00,20170118T200000,1,19.02165253592843,705.9329833022664,0,479.4276136060273,0,0,0,0 
2,2017-01-18 01:00:00,20170118T200000,2,23.021652535928432,605.1667936561743,0,479.42761360602987,0,0,0,0 
2,2017-01-18 01:00:00,20170118T210000,0,21.01482296025419,561.6378131622985,0,0,0,0,0,0 
2,2017-01-18 01:00:00,20170118T210000,1,19.01482296025418,682.2222576359409,0,479.4276136060273,0,0,0,0 
2,2017-01-18 01:00:00,20170118T210000,2,23.014822960254186,567.3286010442043,0,479.4276136060307,0,0,0,0 
2,2017-01-18 01:00:00,20170118T220000,0,20.17519671534203,349.35682673239324,0,0,0,0,0,0 
2,2017-01-18 01:00:00,20170118T220000,1,18.175196715342032,418.30788011200013,0,239.7138068030145,0,0,0,0 
2,2017-01-18 01:00:00,20170118T220000,2,22.175196715342032,382.9668006025012,0,239.71380680301365,0,0,0,0 
2,2017-01-18 01:00:00,20170118T230000,0,19.83069492406854,299.99206587976596,0,0,0,0,0,0 
2,2017-01-18 01:00:00,20170118T230000,1,17.830694924068542,368.6404293674925,0,239.71380680301493,0,0,0,0 
2,2017-01-18 01:00:00,20170118T230000,2,21.830694924068546,334.0517766064222,0,239.71380680301365,0,0,0,0 
2,2017-01-18 01:00:00,20170119T000000,0,19.577741307820926,289.7383494937191,0,0,0,0,0,0 
2,2017-01-18 01:00:00,20170119T000000,1,17.57774130782092,356.2016254186027,0,0.0,0,0,0,0 
2,2017-01-18 01:00:00,20170119T000000,2,21.577741307820922,321.63720725675694,0,0.0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T010000,0,19.1392864497078,27.80775813529332,0,0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T010000,1,17.139286449707804,2.1248193582443324,0,0.0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T010000,2,21.1392864497078,787.4529066844464,0,0.0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T020000,0,18.68570988536153,156.42898002820868,0,0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T020000,1,16.685709885361533,8.984026638960557,0,0.0,0,0,0,0 
41,2017-01-18 01:00:00,20170118T020000,2,20.68570988536153,914.71082013613,0,0.0,0,0,0,0 
